"filename","url","format","width","height","bytes"
"Belovefulwhitetransparent","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760978373/home/camo/new/beloveful.com/public/Website%20beloveful.com/Logo/White/Belovefulwhitetransparent.png","png","2377","655","128845"
"Smaller Logo","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760978739/home/camo/new/beloveful.com/public/Website%20beloveful.com/Logo/White/Smaller%20Logo.png","png","640","176","23677"
"Beloveful","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760978817/home/camo/new/beloveful.com/public/Website%20beloveful.com/Logo/White/Beloveful.png","png","640","176","23413"
"Smaller 2","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760978990/home/camo/new/beloveful.com/public/Website%20beloveful.com/Logo/White/Smaller%202.png","png","542","149","19794"
"Beloveful white transparent","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760979292/home/camo/new/beloveful.com/public/Website%20beloveful.com/Logo/White/Beloveful%20white%20transparent.png","png","900","248","41285"
"Smallest","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760979361/home/camo/new/beloveful.com/public/Website%20beloveful.com/Logo/White/Smallest.png","png","198","55","5159"
